,ProductName,IsBeta,RtpStateBitfield,IsSxsPassiveMode,DefaultBrowsersIdentifier,AVProductStatesIdentifier,AVProductsInstalled,AVProductsEnabled,HasTpm,CountryIdentifier,CityIdentifier,OrganizationIdentifier,GeoNameIdentifier,LocaleEnglishNameIdentifier,Platform,Processor,OsVer,OsBuild,OsSuite,OsPlatformSubRelease,OsBuildLab,SkuEdition,IsProtected,AutoSampleOptIn,SMode,IeVerIdentifier,SmartScreen,Firewall,UacLuaenable,Census_MDC2FormFactor,Census_DeviceFamily,Census_OEMNameIdentifier,Census_OEMModelIdentifier,Census_ProcessorCoreCount,Census_ProcessorManufacturerIdentifier,Census_ProcessorModelIdentifier,Census_PrimaryDiskTotalCapacity,Census_PrimaryDiskTypeName,Census_SystemVolumeTotalCapacity,Census_HasOpticalDiskDrive,Census_TotalPhysicalRAM,Census_ChassisTypeName,Census_InternalPrimaryDiagonalDisplaySizeInInches,Census_InternalPrimaryDisplayResolutionHorizontal,Census_InternalPrimaryDisplayResolutionVertical,Census_PowerPlatformRoleName,Census_InternalBatteryNumberOfCharges,Census_OSArchitecture,Census_OSBranch,Census_OSBuildNumber,Census_OSBuildRevision,Census_OSEdition,Census_OSSkuName,Census_OSInstallTypeName,Census_OSInstallLanguageIdentifier,Census_OSUILocaleIdentifier,Census_OSWUAutoUpdateOptionsName,Census_IsPortableOperatingSystem,Census_GenuineStateName,Census_ActivationChannel,Census_IsFlightingInternal,Census_IsFlightsDisabled,Census_FlightRing,Census_ThresholdOptIn,Census_FirmwareManufacturerIdentifier,Census_FirmwareVersionIdentifier,Census_IsSecureBootEnabled,Census_IsWIMBootEnabled,Census_IsVirtualDevice,Census_IsTouchEnabled,Census_IsPenCapable,Census_IsAlwaysOnAlwaysConnectedCapable,Wdft_IsGamer,Wdft_RegionIdentifier,HasDetections
ProductName,1.0,0.044155881765266525,0.005868218084779059,-0.013739741135123235,0.008028049890389998,-0.1499117161836214,-0.023411440817148924,0.045383555557677646,-0.935193735713767,-0.004045304322416494,0.007334635264899203,0.0001546367785237779,-0.0036453681081666965,-0.0008082652238561846,0.2919022278113108,0.07252296004963057,0.2955965872046682,-0.38057469204289546,-0.02761064902622461,0.058272098045524065,0.277735825334972,0.1172019746868832,0.009364078241439673,-0.0005563301079291055,-0.002265989414078564,0.48488872473645656,-0.08762649213377646,-0.008258471946641392,-0.0001272224971301688,-0.03452202654671249,-0.003891008361912252,0.01285220285471281,0.03681060725099039,-0.030569344725247794,-0.00863198007092822,0.00863595945682657,-6.097451465122514e-05,0.018539143491287203,-0.00964808411866966,-0.0044843207737718035,-0.030410929897939722,-0.0063007578620250596,0.008126655032145758,-0.031717961451696364,-0.021230285799073725,-0.004058108455258192,-0.009813799614688217,0.07209116373955646,0.036954700806884205,-0.21493773023399054,-0.01874785982154196,-0.03697676379305285,-0.03685463205188562,0.005576989711530365,0.016065222688792784,0.015697431598731673,0.008095665657354126,-0.0006461207748263649,-0.02259541882580388,-0.09331690908421152,-0.0004257984442733111,-0.00023187621503735717,-0.018073122874170726,0.00030681571968526884,-0.001519501909441077,-0.012395785808996234,-0.09348011816456026,-7.753370234345094e-05,-0.0043833462796490094,-0.03049144728687142,-0.017194241537691543,-0.02542912845081798,-0.06475899197367928,0.013555374381439408,-0.003202831646136412
IsBeta,0.044155881765266525,1.0,0.0001290839875273869,-5.057085131001949e-05,0.0006923044640828116,-0.003539844473459922,-0.0005975848203074275,0.0023699654913974227,-0.021834263335401404,0.0009158568609918966,-0.0003699167700997179,0.00019287063703690967,0.0013933715729944908,-0.001807093027773438,0.006579694308071938,0.0016848334977119007,0.006869722783581968,-0.008592971449759767,-0.0009086527014690062,0.0015452847756573659,0.006690799897239119,0.0022072314290642442,0.0002893375101645022,-1.473730638810205e-05,-5.5619983803871156e-05,0.011409893810293302,-0.0020695425168025267,0.00020527047314875332,-3.3672140341310275e-06,-0.0013142843192624873,-0.00011022666233534564,0.00023265591674244234,0.0001659310829911158,-0.0005462368525883199,-0.0004383020098982221,-0.00023072782961873267,-1.5706277861337866e-06,0.0013630713349374764,-3.9238241588049234e-05,-0.00033280161592455504,-0.0005520123853464628,2.994954125772992e-05,0.00043069766564435416,-0.0004030769872245714,0.00022672773167529574,-0.0004192855152533603,-0.0002628139494298163,0.0022534997131958305,0.001274907630123211,-0.0048094345907803634,-0.00046298920901674745,-0.0012580128888717984,-0.001286124784022282,9.009368617547285e-05,-0.0014575947568222414,-0.001481729284023386,0.0005766202437974728,-6.400548373427194e-05,-0.00048526841244315717,-0.002472717785162645,-1.3882434291382425e-05,-6.686904022480256e-06,0.0012928966455623234,0.014645144368222927,-0.0004959684501333097,-0.0008463182899419618,-0.0026648758642073295,-2.1894442156860604e-06,0.0002587180007930014,-0.0010383596589174451,-0.0005451871629047865,-0.0006688865996399958,-0.0012925874419640508,0.0007298718205587081,-3.9765878541388337e-05
RtpStateBitfield,0.005868218084779059,0.0001290839875273869,1.0,-0.8853026740530193,-0.0012505814914483128,0.1086334334708374,-0.1841617118772034,0.009698229476817304,-0.0057967140328721535,0.01202276134959318,-0.0012235259206092059,0.004982541415549421,0.016458438375374668,0.0077898590054281645,-0.012509263860343182,0.011519041842018235,-0.011717636968794045,-0.028179291054830077,-0.010743180561673903,0.03399105488367535,0.014452825229682975,-0.0017331689093344415,0.06092434203782126,-0.01458523436848132,0.00301747582749117,-0.024852426261505134,-0.03222567266467468,0.0075364055465646385,0.00018407124596558753,0.00980243861797952,-0.002985341992552752,0.0036635443836151825,0.0005162750952444145,-0.020642895395352388,0.001031197961249809,-0.008782193049683045,8.536802587923135e-05,0.009269651757175557,-0.019330626989186053,-0.008950968458284247,-0.02302402366805022,0.007882773001028688,-0.013106141136516269,-0.018664507369688815,-0.013038590631519879,0.012556840998025669,0.007665707018932152,0.01139461740249088,0.03290590377952458,-0.03455562062715958,0.024400049974732215,-0.008029940552723325,-0.010789655145924216,0.003351100598876194,-0.014425086403932452,-0.014121957615509597,-0.01941083907746785,1.546024383352752e-05,0.02207914559110837,-0.0019141641095078426,0.0005539124115587866,-1.2681747181625397e-05,0.0025352346792405357,7.192380078689134e-05,0.007858786220995041,0.0072636877047575115,-0.015516595691992575,8.306472148511899e-05,0.008226613847536198,0.009710854819274244,0.005180171365302935,0.020277660936525423,-0.022863343078134254,-0.003490638846315004,0.04148565043212694
IsSxsPassiveMode,-0.013739741135123235,-5.057085131001949e-05,-0.8853026740530193,1.0,-0.0012494952723276997,-0.11384069403136364,0.19493386694533665,0.025218861532663776,0.013812010407217802,-0.012522045878410566,0.0009817546493190597,-0.0046578001088897905,-0.016883659356150615,-0.012568295906392449,-0.023745692737438696,-0.01349261992882421,-0.021427610732210372,0.046631927399738114,0.016060512669499136,-0.04180646534556838,-0.023260605641644734,0.003354085422228193,-0.034698108067815835,-0.0007142351170066996,-0.0028471073015343905,-0.003245832618907859,0.031231323512673798,-0.0014434267814870984,-0.0001618677206071062,-0.008958167434867758,-0.005299416227622539,-0.005147482589157491,-0.001950308362439387,0.02527890501086004,0.002045560292743484,0.010652789661180955,-7.525863475860502e-05,-0.005597608479138456,0.016306904793291915,0.008593710898626624,0.026505916532194362,-0.008207400087238683,0.01099797485981129,0.024422927342355436,0.018176677954341587,-0.010161791433347852,-0.006166538639678617,-0.013541270132713147,-0.03901491111098557,0.0453707197923452,-0.024272632634574055,0.007004548430606605,0.009793718798822196,-0.0014852949238546081,0.011506791332617798,0.011022191027482468,0.018865855933566062,-0.0008944686466036851,-0.02577836255282328,0.013140744552603613,-0.00046356297451123445,-0.00042425389896218744,-0.0029500108287777477,-0.0005875190925407062,-0.00791589250199224,-0.007214440530894158,0.02006689184297368,-6.977721236501937e-05,-0.010290906670800456,-0.006183053766923779,-0.0014020270108627082,-0.01585208850049242,0.03068232841727913,0.0027897059906243364,-0.03506556619900546
DefaultBrowsersIdentifier,0.008028049890389998,0.0006923044640828116,-0.0012505814914483128,-0.0012494952723276997,1.0,-0.01743299457931518,0.03761587185212587,0.022898998695248324,-0.0084762095825961,-0.008996615547822521,0.0010949277779238363,-0.0024663403830271742,-0.011840490216913371,-0.009412304250997228,0.014369533473852187,0.008759393697820927,0.015412694202690404,-0.05396341094469258,0.008152467394095902,0.061137012547510326,0.06601684914033676,0.0055460103480462495,-0.050597822956974424,0.06833623846127643,-0.0008846770425110042,-0.013354143089203234,0.0056664962733446065,-0.002175773586862907,2.8915141842196856e-05,0.0020917384865730784,-0.0026109128014759377,-0.003008746199589005,0.001713958813623501,-0.009088548719413676,-0.0024173613629382027,-0.0038909503733168672,-4.184346250435033e-05,-0.004661644604452071,-0.004235669690230639,0.0020709873801315706,-0.012672484097802307,-0.0012621411826161137,-0.007478634860652802,-0.009884268778464851,-0.010467392942254015,0.0035876578414203155,-0.0021565980854753395,0.008657723013160857,0.0514210942108989,-0.056037383819512135,0.009781160791454519,0.01035596034625431,0.01357291153996942,0.014200089219991482,0.018705983133731976,0.018542123120263147,0.004852766371371035,-0.001087743925185043,-0.0022038580116198205,-0.0014031068960861496,-0.00021074602558366755,-0.00022927221125731544,0.0014831608189777368,0.00033044649728241005,0.006941023623859127,0.001798654800704803,0.006098756939891346,-4.586665982684394e-05,-0.0032415924349439673,-0.003292435349191547,-0.0045792955856747905,-0.0034912914705582314,-0.014191144757417683,-0.0022641821509824397,-0.0032170641765343452
AVProductStatesIdentifier,-0.1499117161836214,-0.003539844473459922,0.1086334334708374,-0.11384069403136364,-0.01743299457931518,1.0,-0.6328986888900956,-0.12205360589881868,0.140325369137508,0.006339302332090736,-0.001446150901235744,0.010395434720353338,0.018741947653500908,-0.08001824495075613,-0.015493862610189242,-0.009704880699433665,-0.015517367923096775,0.0013957098702614026,-0.05743506303951314,0.03666579737745114,0.00046155812697260196,-0.053609733031308456,-0.14450545601269837,-0.005372832913129903,0.008510439385740816,-0.07101469194558828,-0.03200440626188817,0.0014789365270796678,0.00024079335062390518,0.023706092710237655,0.0004214503869477649,0.015477367462693787,0.019446366067778362,0.05449536190985084,0.03022470616502785,0.021762342369534327,-0.00044423720127235436,0.06367972997213996,-0.09076283592964811,-0.048713328158018314,0.035523705431831504,0.03163591866821403,0.001392820336017916,0.0482857604910972,0.06127010986756325,0.014359195717138876,0.018605552127209404,-0.009605150369315339,0.03419896436790236,-0.021309045198901564,0.02458377651226007,-0.0004396608737636513,-0.006721681909387323,0.07230914065413263,0.018667106768633673,0.016888393549309797,-0.08972712365512484,0.0031408222352617555,0.06277620608542517,0.025241141062917326,0.0008004446105662107,0.0008818625868388865,0.03533785207223851,0.004306864166915276,-0.01411626667982749,-0.018864834160749546,-0.034235224010029375,0.0002583189754463427,0.029201534707327323,0.04098390143005397,0.03544823480533974,0.06394874966610177,-0.022420674329477436,-0.02010911500295835,0.11740389811169064
AVProductsInstalled,-0.023411440817148924,-0.0005975848203074275,-0.1841617118772034,0.19493386694533665,0.03761587185212587,-0.6328986888900956,1.0,0.2864295131146029,0.02556439327045749,-0.022441820343085166,0.004235461589534161,-0.014175865196487574,-0.048512970329329726,0.04141945456407157,-0.016463091058607125,-0.05266433599329432,-0.015368705310992886,0.004524789989044938,0.18116775536300203,0.023838665694937974,-0.00859433887885105,0.1093280794049343,-0.02595950930849155,0.004700713759010006,-0.012980164485841807,-0.029717919451057877,0.04570384811344481,-0.0018737090558433537,-0.00012030205816305426,0.01952707399785123,-0.0008124910014931362,-0.06437465924951731,-0.042028756142992355,-0.052408981760468945,-0.022447856940407095,-0.038741602619451705,4.1286713376519414e-05,-0.10859864339281482,0.14658142495863732,0.025339020706165612,-0.03592473455327325,-0.03004705482234724,-0.03897084529916462,-0.03716623889727167,-0.06973508772947103,0.005123463952640269,-0.019628484310908127,-0.05262897920552625,0.023027465737654403,-0.005399220154540957,-0.014249543052036288,0.08112531837727247,0.10413873204987538,-0.01411242286192852,0.0077854210684498125,0.0069053537569689315,0.13889014787484855,-0.007621162667093448,-0.12393596463393503,0.12526968862374735,-0.0013798395331274884,-0.0016481065185629622,-0.035216044110345276,-0.006216539575106794,0.05589166429206288,0.04241443978896104,0.2147450161122726,-0.0003927709012432206,-0.04585372221963928,-0.013319591260501347,-0.028524532560038975,-0.0707219974750421,0.016036317350563815,0.03373209337252077,-0.14962594074361288
AVProductsEnabled,0.045383555557677646,0.0023699654913974227,0.009698229476817304,0.025218861532663776,0.022898998695248324,-0.12205360589881868,0.2864295131146029,1.0,-0.04345121344277836,-0.01848657876585286,0.005327157301798742,-0.007440696421783735,-0.025408772406837168,-0.017688622116195905,0.14213127659798203,-0.013465812920798254,0.13079461834161193,-0.09068177003285129,0.032221169773477255,0.036497794717925865,0.04211088533058771,0.028764156941494916,0.08026577318532836,0.003189963433629199,-0.0027164047672959464,0.10725741701992594,0.01248958123232624,-0.0053152914180791405,-0.00015250408472527313,0.0020501442164340936,-0.0003040149695818339,-0.00530019909291107,0.0027443560331581415,-0.004397593569412519,-0.00498209995303752,-0.004477733404886306,-7.065674456757262e-05,-0.02365658333819146,0.01583715508649604,0.0018521101041168383,-0.005368011429058177,-0.008583987663290937,-0.0017093421906326093,-0.0006095417351062056,-0.00672299326966863,-0.007708875784806181,-0.008969630607600343,-0.013460746896404526,0.023084533232609932,-0.06935362366770903,0.017312833852441943,0.030846466633162893,0.038120352663292514,-0.00026947761624405693,0.03691970790029211,0.036376341412779414,0.021649240632675905,-0.001747392942030498,-0.022134379998161067,-0.005988913933774025,-0.0005492063033885471,-0.00038315571381329595,-0.002613521844698153,-0.0016975821799235914,0.01233632888735776,-0.0012764689554983677,0.03921978660551277,-8.703695242920107e-05,-0.010597850475773673,-0.0026160995515760936,-0.008302458536590967,-0.020091235727241873,-0.013307280680018645,0.005793802782189688,-0.041984620319515144
HasTpm,-0.935193735713767,-0.021834263335401404,-0.0057967140328721535,0.013812010407217802,-0.0084762095825961,0.140325369137508,0.02556439327045749,-0.04345121344277836,1.0,0.003808938317400719,-0.007577168133936022,1.543891466440614e-05,0.002661789795886205,0.0013912749022705962,-0.28801911338091823,-0.06634173677942144,-0.28459222687122254,0.36236779069014613,0.026627283563620416,-0.05774750363921994,-0.26595414404666967,-0.11274892120732252,-0.008684914935837777,0.0005933886124095643,0.002380337018748726,-0.4606926947946098,0.08431324838221316,0.006298315345457485,0.00013554239049488496,0.03016154783035717,-0.015069480689535971,-0.014680373662370233,-0.038040784913887536,0.025516145042961146,0.006375915580258556,-0.0108819569221351,6.4724455922898e-05,-0.017930064704180404,0.006988135726601139,0.004640118362763832,0.024994133707939552,0.0011160830910492618,-0.007949695674388522,0.029616975693461754,0.019869234264743994,0.0020588641369336377,0.010303351811359562,-0.06587797382584906,-0.03708272891520276,0.20481734212370117,0.01873273536152654,0.028357902137905275,0.02818519361432699,-0.00934256039553153,-0.015965002763050237,-0.015655613369800883,-0.009474999687805286,-0.05644596807949241,0.02010016597580187,0.09120863610908071,0.00044531098511821094,0.000260628069989806,0.01607940571179302,-0.00018011366730115596,-0.00047683732162991777,0.00891359996747893,0.08606927247744753,7.99898625913145e-05,0.0020800574735382895,0.02912919159530937,0.017395405851914604,0.026187537260368595,0.06342047868898648,-0.013442196444922054,0.005490073446709957
CountryIdentifier,-0.004045304322416494,0.0009158568609918966,0.01202276134959318,-0.012522045878410566,-0.008996615547822521,0.006339302332090736,-0.022441820343085166,-0.01848657876585286,0.003808938317400719,1.0,0.00020670489154129705,0.042499230651654285,0.5985111417133064,0.048607147535029496,-0.00020472415286101124,0.005878657130994589,0.002928826842882954,0.009918369421597769,-0.001770480774312945,-0.010266588284400779,-0.007083284641456191,0.0032462922452236825,-0.012549091751996574,-0.0011160173960175393,-0.0027184764139168978,0.005395476558159838,-0.006406812923778253,-0.011101858737783573,-0.00012597130226332172,-0.0034913677269107547,-0.0019605684329591336,-0.05190986641636912,-0.021399589213292478,0.010407808919483692,0.008369282898842194,0.011846782033326645,-0.00027161725249675434,-0.010047162066211273,-0.03596174561956111,0.007113546626836007,-0.008743648175183801,-0.00821977399791841,-0.00599203619450475,-0.009141783173491753,-0.01009351610718235,-9.959323729869687e-05,-0.007676671874698178,0.005972353322220797,-0.005788610397529799,0.010130904398167278,-0.0049261535353772945,-0.021100998465320323,-0.020471657252622687,-0.014738715811985686,0.10035406837148342,0.09533970476656263,-0.01553132583689369,-0.00047963436305872495,0.022585990180948617,0.0016895570208419438,0.000168357010865889,-0.0027430227858480888,-0.005569854767522903,-0.0014817718315073656,-0.02057568761473248,0.02122146147522114,-0.010057773218849346,0.00045083588601093694,-0.005752518269769311,0.004860200626781301,-0.010613347427640113,-0.005897783631537952,0.01737350633071506,-0.11765603313923373,0.00709889904090845
